Name,Text,Pre2022
A Tale of Pronouns Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation,"Recent instruction fine-tuned models can solve multiple NLP tasks when prompted to do so, with machine translation (MT) being a prominent use case. However, current research often focuses on standard performance benchmarks, leaving compelling fairness and ethical considerations behind. In MT, this might lead to misgendered translations, resulting, among other harms, in the perpetuation of stereotypes and prejudices. In this work, we address this gap by investigating whether and to what extent such models exhibit gender bias in machine translation and how we can mitigate it.",0
A Tale of Pronouns Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation,"Concretely, we compute established gender bias metrics on the WinoMT corpus from English to German and Spanish. We discover that IFT models default to male-inflected translations, even disregarding female occupational stereotypes. Next, using interpretability methods, we unveil that models systematically overlook the pronoun indicating the gender of a target occupation in misgendered translations. Finally, based on this finding, we propose an easy-to-implement and effective bias mitigation solution based on few shot learning that leads to significantly fairer translations.",0
A Tale of Pronouns Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation,"Instruction fine-tuned (IFT) models, such as FlanT5 (Chung et al., 2022) and mT0 (Muennighoff et al., 2023a), are trained on large corpora of machine learning tasks verbalized in natural language and learned through standard language modeling. The large and diverse mixture of training tasks has led to unmatched transfer performance – if prompted properly, models are able to virtually solve any standard NLP task, including sentiment analysis, natural language inference, question answering, and more (Sanh et al., 2022).",0
A Tale of Pronouns Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation,"However, most efforts on their evaluation have focused on standard benchmarks only, with a prominent focus on testing zero-shot abilities (Chung et al., 2022) and cross-lingual generalization (Muennighoff et al., 2023b), and have thus largely ignored the models’ social impact (Hovy and Spruit, 2016). This lacuna is extremely surprising as (a) IFT models are based on pretrained language models, which are widely known to encode societal biases and unfair stereotypes (Nadeem et al., 2021; Nozza et al., 2021, inter alia); and (b) exposing models to many fine-tuning sources can exacerbate biased behaviors as stereotypical demonstrations add up (Srivastava et al., 2022).",0
A Tale of Pronouns Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation,"As a result, we expect instruction-tuned models to encode societal biases and unfair stereotypes, possibly even beyond the extent of their base models. Still, few efforts have been spent on bias evaluation and mitigation for these models so far (a notable exception being provided by Akyürek et al. (2022)), putting their societal beneficial use at risk. In this work, we address this research gap by studying occupational gender bias in zero- and few-shot setups in one of the, arguably, most prominent NLP applications to date, machine translation (MT).",0
A Tale of Pronouns Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation,"Based on attribution interpretability, we find that models systematically ignore the pronoun (and thus, the conveyed gender information) when producing misgendered translations. In contrast, correctly translated professions relate to higher contributions of the pronoun in the choices taken. (3) Based on our insights, we propose a novel and easy-to-use bias mitigation method – informed by interpretability scores! The differences in the attribution scores lead us to hypothesize that models that are used in a fewshot setup would benefit from provided translations mostly, if exactly in those examples they would normally overlook the pronoun.",0
A Tale of Pronouns Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation,"We hence propose a few-shot learning-based debiasing approach, in which we use interpretability scores to select the incontext exemplars. Figure 1 shows an example of the resulting approach. The solution is simple-yet-effective, leading to significantly fairer translations with as few as four human-translated exemplars. Overall, our findings prove interpretability as a valuable tool for studying and mitigating bias in language models, both as a diagnostic tool and a signal driving bias mitigation approaches. We release code and data artifacts hoping to foster future research in this direction.",0
A Tale of Pronouns Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation,"Our contributions are three-fold: (1) we provide one the few studies on bias in instruction-tuned models to-date. Focusing on the example of MT and gender bias, we show that despite getting better at zero-shot translation, such models default to male-inflected translations, even in the presence of overt female pronouns and disregarding female occupational stereotypes. (2) To our knowledge, we are among the first to acknowledge the potential of interpretability methods to study IFT language models and why they produce biased predictions.",0
A Tale of Pronouns Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation,"To this end, we use the established WinoMT benchmark (Stanovsky et al., 2019) and study the translation from English to Spanish and German, two morphologically diverse languages that both require inflecting multiple syntactic items. We experiment with Flan-T5 and mT0, two state-of-the-art IFT models, controlling for several factors such as the prompt template, model size, and decoding strategy. Importantly, we make use of established interpretability tools to shed light on when and how such models use lexical clues when picking the right (or wrong) gender inflection for a target profession. We then use those insights for informing an easy-to-use and effective bias mitigation approach.",0
A Tale of Pronouns Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation,"The primary use case for instruction-tuned models is to tackle standard NLP tasks by formulating a specific request in the input prompt. Here, we experiment with MT, triggered by a specific phrasing such as “Translate this into Spanish.” In particular, we set to study whether such models exhibit gender bias concerning occupations. While doing so, we apply established interpretability metrics to explain why the model preferred specific gender inflections. Later (§4), we propose a novel debiasing approach based on few-shot learning informed by the interpretability findings.",0
