Name,Text,Pre2022,Length
A Day of Fallen Night by Samantha Shannon,"Wulf said, Was I really the only one who lived? It appears so. The rest were burned, drowned or frozen. I sent divers and ships to look. He closed his eyes. The Plague of fandauth is spreading, Einlek said. The Nameless One brought a sickness from the Womb of Fire, a plague that beset the people of Yikala. It must have returned. Whatever attacked our king, we can be sure it serves our enemy.",0,small
A Day of Fallen Night by Samantha Shannon,"I cling to faith as flame clings to a wick already curled and black. The Mother will see us through this, Esbar. The Priory, perhaps. What of you and I? Tunuva had never thought she would feel truly cold again, until Esbar uqNra asked her that question. That decision must be yours. Her throat constricted as she spoke. Nothing has changed for me. Esbar sank deeper into the chair.",0,small
A Day of Fallen Night by Samantha Shannon,"After four years of Hran rule, the city still appeared Lacustrine, though the tents beyond its wall served as a strong reminder of the conquest. Furtia and Nayimathun landed near the High Perch. The stronghold bestrode a crag to the west, its sloping walls made tall and smooth. Oxen and horses, eagles and dragons pranced across its roofs, and a sun and moon gleamed on the doors, to be parted down the middle when they opened.",0,small
A Day of Fallen Night by Samantha Shannon,"In exchange for his blade, the knight of Inysca had two conditions. First, he would see the people of Lasia convert to his new religion of Six Virtues. And second, when he returned to his own country, he would have Cleolind as his bride. Siyu stopped to clear her throat. Tunuva passed her a goblet of walnut milk, which she drank. And what then?",0,small
A Day of Fallen Night by Samantha Shannon,"Glorian entered to find only three of the Dukes Spiritual waiting for her. Your Grace, Lady Brangain said quietly. They all dipped their heads. Forgive us for disturbing you at this hour. We thought it right that you heard as soon as possible. Where is the Lord Protector? Glorian asked her. He rode out with Lord Damud and Lady Gladwin before dawn. They are on their way to instruct the earls and barons of the northern provinces, so they can muster your people to defend our queendom.",0,small
A Day of Fallen Night by Samantha Shannon,"They have simply chosen to conserve their strength. Why did their strength wane? If a godsinger does not know the answer to that question, surely no one living does. An old boardwalk led into the lake, to the small island at its heart. The gods are benign, Emperor Jorodu said as they crossed, but they are not of our world. They prefer not to involve themselves in the politics and conflicts of humankind.",0,small
A Day of Fallen Night by Samantha Shannon,"In the event of his death, the heir to Inys may wed another relative of Queen Rozaria of Yscalin  in the first or second degree, specifically  within the next month. Usually the clause is included because one of the parties has some illness, or partakes in dangerous pursuits, Lade Edith said. A sensible precaution. Prince Therico had a fragile constitution. Lord Randroth set the document in question on the table.",0,small
A Day of Fallen Night by Samantha Shannon,"She did not have to stand here and try to outwit the River Lord. She did not have to become like him  and she had come so close, some days. This court had made her reckless, untrusting and hard; it had almost made her cruel. Now she remembered the godsinger of Mount Ipyeda, who had wished for nothing more than the life she already had.",0,small
A Day of Fallen Night by Samantha Shannon,"Another silver Noziken. Dumai looked at them all, the whole belfry of courtiers. Her father had summoned her because she owed allegiance to no one. Now she saw that no one owed allegiance to her, either. I am alone. She stood at a great distance from herself. I am alone, with my foot in the fishnet. No, not alone. Outside, a dragon waited for her.",0,small
A Day of Fallen Night by Samantha Shannon,"Her first wild thought was that the gallery must have been walled up. Then the hanging was drawn back, and a stricken face appeared, cast into shadow. Who in Halgalant are you? Glorian demanded. Pain and embarrassment sharpened her voice. She had not thought to see anyone up here. The man  a young man, not much older than her  stared back at her in shock.",0,small
A Day of Fallen Night by Samantha Shannon,"Gladwin Fynch (Lady Gladwin): Duchess of Temperance, descendant of the Knight of Temperance. Guma Vetalda (the Hermit of Hart Grove): High Prince of Yscalin and Duke of Kvuga, and twin brother of Rozaria III of Yscalin, born a few minutes after her. Uncle to the Donmato Alarico and granduncle to Princess Idrega and Prince Therico. He rules from the stronghold of Hart Grove and is the wealthiest man in Yscalin, thanks to the mines known collectively as the Ufarassus.",0,small
A Day of Fallen Night by Samantha Shannon,"I never understood what that meant before now. What if she used the same magic as Canthe? Esbar looked at it, her expression resolving. Hold the gate, she ordered their sisters. I need higher ground. Tunuva ran towards the cliffs with her. Royal tombs were carved into their western face. In their wake, the gates cracked open to let out a flood of Ersyri soldiers, roaring as they made a last foray.",0,small
A Day of Fallen Night by Samantha Shannon,"Wulf grabbed whatever he could throw: weapons, two oars, a rack that must once have held meat, a table with a broken leg. With so many hands working together, the pile was soon high enough to give the creatures trouble breaking through. Fire archers came to set it ablaze. Its coming, a voice cried. The wyvern was back, and it had them all caught like fish in a net.",0,small
A Day of Fallen Night by Samantha Shannon,"I have left a warning for our sisters in the archives, telling them to be wary of strangers. What of the Inysh matter? Tunuva asked. Will you leave word of that in the archives, too? Yes. Her gaze turned distant. I will leave a tablet there, stating that the Queen of Inys is always to have a mage as her protector; that this is my ruling as Prioress of the Orange Tree  but I will allow our future sisters to interpret my reasons as they see fit.",0,small
A Day of Fallen Night by Samantha Shannon,"I mean to keep an eye on her. Yes, Im sure you would be happy to keep a close watch on a beautiful woman. Kanifa cocked a heavy eyebrow, a faint smile on his lips. Go to your mother, Dumai of Ipyeda. He continued down the corridor. She will cleanse you of such earthly thoughts. Dumai screened her grin behind her hair as she stepped into the room.",0,small
A Day of Fallen Night by Samantha Shannon,"Together, they proclaimed that the Lord Protector was in residence. The wind blew hard. Wulf coughed into a gloved hand. Inys might not be half as icy as Hrth in late winter, but their hideaway was damp and cold, and they dared not risk a fire. As the sun rose, Mara returned from her scouting, coming on foot from the hills. Wulf stared when he saw who was with her.",0,small
A Day of Fallen Night by Samantha Shannon,"Then another face, pale and terrified. The memories were far away, so far they no longer held a clear shape, and ran like water. But he knew he had been to this part of the wood before. How had he escaped, the first time? He was laughing and the sun was bright, and he tasted honey like a prayer on his lips. Who are you?",0,small
A Day of Fallen Night by Samantha Shannon,"Unora smiled. Dumai would have liked that very much, I think. The Grand Empress glanced up at the dragon, who returned the look, blowing fog through her nostrils. You should be patient, Lady Nikeya, the Grand Empress said, the corners of her mouth tweaking. My granddaughter may yet guide you herself. The dead whisper through the crash of the waves. Sometimes, they may even choose to return to us  we, who are left on the shore.",0,small
A Day of Fallen Night by Samantha Shannon,"She told me I disgraced you both. Esbar loves you with her soul, as we all do. She loves the Mother more. As we all must  but Siyu, I was there when Esbar gave birth to you. You have made her so proud over the years. This mistake is a small part of your life. It does not define it. Swallowing, Siyu managed a nod.",0,small
A Day of Fallen Night by Samantha Shannon,"As the wound smoked, he watched the glow leave its eye, an ember turning cold in its socket. His own eye had puffed shut. What had struck him, he had no idea. He had lost count of the talons scraping at his mail, the beaks striking his helm. He planted the end of his long axe in the sand. Wheezing from the smoke, he scraped his hair from his eyes and peered towards Bithandun, so tired he was almost drunk with it, swaying.",0,small
A Day of Fallen Night by Samantha Shannon,"Tunuva wished Narha could comfort her, too  that her forebear could lean down from that column and brush away her nightmares. In the last one, Esbar had stabbed her in the heart, and she had woken in a sweat, convinced it was blood. She had not told Esbar. Across the hall, Esbar was taking her time at the rack. When she nodded to an Ersyri sword, the armourer removed its silver-mounted scabbard, wiped its blade with an oiled cloth, and handed it to her.",0,small
A Day of Fallen Night by Samantha Shannon,"His need for power has grown in this chaos. This fire will have convinced him that Clan Kuposa must seize its chance to rule, while the gods are at their weakest. I can imagine him performing a noble sacrifice of the Noziken. Epabo, Dumai said, thank you, for everything. I will lead the gods to avert his folly. She marched from the tent, into the freezing night, to collect what she would need.",0,small
A Day of Fallen Night by Samantha Shannon,"I have sat here in the canyon for a week, to warn those who would come too close. I cant go back. I would sooner starve than He made the sign of the sword, his hand trembling. No soul should enter Halgalant that way. These people look to you for guidance, Saintsman, Regny sneered. And you cower down here? I am a sanctarian, not a warrior or a physician.",0,small
A Day of Fallen Night by Samantha Shannon,"The sun has risen. Her voice was bereft of hope. The wyverns can see the moor clearly now. I dont think it will be long before our soldiers are dead. Even with the ones who came from Paupers Henge? Its not enough, Glorian. Theyre so tired. Tears streaked her cheeks. I feel just as I did when you fell off your horse. Youre in danger again, and I cant save you.",0,small
A Day of Fallen Night by Samantha Shannon,"Glorian drew herself up. Mother retires after eventide. I will need to be at the spyhole by then. She grimaced. Lets not tell Jules. Shell only worry. They looked at one another. Or Adela, they agreed in unison. **** After the evening meal, she and Helisent changed and walked to the Royal Sanctuary. Sir Bramel and Dame Erda closed the doors behind them, leaving Glorian to her supposed reflection.",0,small
A Day of Fallen Night by Samantha Shannon,"Every head on the ship turned. Bardholt placed a hand on the side. Archers, he called. Along with half the seafarers, Regny nocked an arrow. Steady. Sire, what comes? a voice said. Let us see. Bardholt narrowed his eyes. It has been a long time since I last heard drums. Not drums, Wulf thought at first, but Bardholt would know better. After all, he had been to war.",0,small
A Day of Fallen Night by Samantha Shannon,"By the light of the low-burning fires, they shared tales of their deeds, raising their cups to those who had ascended to Halgalant. Hunger was the unwelcome guest. Where food had once been rich, now there was only simple fare, even for the king and his guard. You all fought like the Saint himself today, Einlek said, when they had scraped every plate. None more than Gthur Wyrmkiller, whose harpoon felled the beast.",0,small
A Day of Fallen Night by Samantha Shannon,"What makes you think I would have you, Lady Sabran? Her name was a dark thrum in his throat. How do you know I dont already have a consort in my own kingdom? Because I saw how you looked at me in the throne room. (He had not said no.) And how often. King Bardholt offered no reply. Sabran stood tall before him, for she was not her mother.",0,small
A Day of Fallen Night by Samantha Shannon,"Unora took a layer of cloth from the middle of the table, revealing the oily blue stone. Empress Mokwo wrote of a stone that could command the waters and the winds. Even the gods heeded its call, she said. It was said to resemble a moon, so the Grand Empress did expect it to be pale. Dumai watched her face. It had been a long time since she had seen her mother look nervous.",0,small
A Day of Fallen Night by Samantha Shannon,"With surprising care, she drew a thread of damp hair between her fingers, teasing out a pine needle. Are you certain you dont want me to comb this, Princess? Dumai could feel her own breath betraying her. A warm drift in her darkest waters. Daughter, have you lost your senses? I will manage, she said, starting to draw away. Wait. You said I couldnt style it for this court.",0,small
A Day of Fallen Night by Samantha Shannon,"Dumai stared at the writing. Tonra speaks of a comet that will come in the twelfth year of the fifth century  next year  to cool the risen fire. This must be the answer. A comet. His expression changed. A comet is what keeps the balance in check. Father might know of it  but if this is true, this time of fire will not last for ever, just as Master Kiprun said.",0,small
A Day of Fallen Night by Samantha Shannon,"And she understood what the dragon wanted. With a hundred thousand eyes on her, she reached out with trembling fingers. A living dragon, slippery as a fish, real and alive beneath her palm. There was kinship in that touch, and strength. Furtia nudged back with her snout. Come. She made a sound like distant thunder, and Dumai took another step. She closed her eyes, feeling a pull, a likeness, a want.",0,small
A Day of Fallen Night by Samantha Shannon,"Furtia and I will get her away. Taugran is much stronger than Furtia, Nikeya protested. You know this, Dumai. Not for long. I feel the coming of the star. It was true. Her awareness of it was taut and strong, a string pulled along the neck of a lute, tuned to something that moved closer by the hour. Nikeya, Unora said quietly, touching her shoulder, will you leave us a moment, and watch over Epabo?",0,small
A Day of Fallen Night by Samantha Shannon,"Dumai was frozen stiff. She could smell the beast, its wrongness, and the closer it came, the harder her heart pounded. Its eyes were fixed on her. Great one, stop! Her heels slipped as more briny water bubbled up beneath her. Furtia Stop, its too strong! Furtia opened her jaws in a roar. Then a wave of hot air struck her, and so did a terrible iron horn, scraping along her side.",0,small
A Living Remedy by Nicole Chung,"I had to count the zeros several times before I could believe it. You did it, my mother said. She tried to smile, but we both wound up crying instead. As we celebrated, I wasnt thinking about how lonely I might feel, or how much I would miss my family. I couldnt comprehend what it would mean to attain that first foothold in a world they would be unable to follow me into.",0,small
A Living Remedy by Nicole Chung,"A country that first abandons and then condemns people without money who have the temerity to get sick, accusing them of causing their own deaths. It is still hard for me not to think of my fathers death as a kind of negligent homicide, facilitated and sped by the states failure to fulfill its most basic responsibilities to him and others like him. With our broken safety net, our strained systems of care and support, the deep and corrosive inequalities we have yet to address, its no wonder that so many of us find ourselves alone, struggling to get the help we need when we or our loved ones are suffering.",0,small
A Living Remedy by Nicole Chung,"But had I been wrong to feel that way? They certainly never saw their burdens as mine to share, instead choosing to shield me from them for as long as they could. They were my parents: they looked after me, not the other way around. * * * The lack of air-conditioning in my childhood home was bearable because we could open our windows at nightexcept during wildfire season, when we might occasionally suffer and sweat in the hot, tightly sealed rooms of our house.",0,small
A Living Remedy by Nicole Chung,"When I was at my most anxious, fretting about one or both of my kids, Mom would always tell me to relax, take a deep breath, stop worrying. The girls are going to be okay. It was no empty, unthinking reassurance she offered; she believed it, every time. I couldnt understand her certainty, and sometimes, I admit, resented itshe was a parent, too, and as anxious as I was.",0,small
A Living Remedy by Nicole Chung,"When I lived here, I used to walk to another field near our old house to watch the sky darken above gold-limned hills. Sometimes, driving home in the evening, Id pull over to admire the viewthe riotous colors of sunset, the slow-deepening blue of the mountains as the light receded. Ive relaxed at peaceful eastern lakes and walked along Atlantic beaches, but have yet to find any substitute for these mountains.",0,small
A Living Remedy by Nicole Chung,"When a friend asked if I minded that my parents were selling the home Id grown up in, I scoffed. The last person to live in my childhood bedroom hadnt even been me, but a friend of minemy parents, with typical openhandedness, had let her stay with them rent-free for a year and a half after her own parents kicked her out. There were things about the house Id been fond of: the sprawling, shady backyard that had once contained my rickety old swing set; my room with its blue walls and bursting bookshelves and my cats favorite scratching post; the minuscule spare bedroom that I was eventually permitted to turn into a writing space, nearly every square inch filled with our lumpy blue futon and the giant desk I had begged my mother to buy at a yard sale.",0,small
A Living Remedy by Nicole Chung,"The medication hed been prescribed was expensive without insurance and also upset his stomach, so he stopped taking it, saying that he couldnt work and serve food all day while feeling nauseated. As restaurant manager, he was usually the last one who got to take a break or eat lunch, and when he did get a meal, the food most readily available were the pizzas he helped make.",0,small
A Living Remedy by Nicole Chung,"If you really knew and didnt tell us, that was a real dick move, Dad. He did look peaceful, as if he had welcomed death, or at least been ready for it. When we approached to say our final goodbyes, Mom, mostly cried out by then, put her arm around my shoulders, her solid warmth a familiar comfort as always. Dont despair, she told me.",0,small
A Living Remedy by Nicole Chung,"Though Ive often wished that we could have come up with an argument that would have changed his mind, my mother believed nothing either of us could say would have swayed him. She said that he remembered his mothers agony after organ rejection, and in the end he believed that neither dialysis nor a transplant would give him a long life. The dialysis did its job, as it had for his mother, first saving and then extending his life.",0,small
A Living Remedy by Nicole Chung,"Four months after my mother died, a fire started fifteen minutes from her neighborhood. High winds carried the sparks far afield, allowing the blaze to grow and fan out for miles. Unlike the wildfires I remember from childhood, this one roared parallel to some of the busiest roads in the area, ravaging parkland, businesses, and thousands of homes. I was shocked to see news of the runaway destruction, although California wildfires had been in the news for weeks, and Id heard about the terrible air quality in the Bay Area, Seattle, Portland, Vancouver.",0,small
A Living Remedy by Nicole Chung,"I cry while I eat or drink. I cry in the shower, and when I lie down to try to sleep. Even when I am worn out, too hoarse for my sobs to make much of a sound, the tears keep coming, silently drifting down my cheeks. All I can think about is how, at the end, I wasnt with her. She was the kind of mother who deserved to have her child there when she died.",0,small
A Living Remedy by Nicole Chung,"Thats what she meant when she told me, as a child, that I could never disappoint her. Thats why she and my father always said it didnt matter where I went, what I did with my life, what I accomplishedthey would always be proud of me. Thats why she believes that there is nothing for her to forgive now. I can choose to accept her at her word or not, keep chastising myself or not, but the truth is that this is what she has long believed: I am her daughter, so I am enough.",0,small
A Living Remedy by Nicole Chung,"All I would have focused on was that our expected family contribution was zero. Although many people identify as middle-of-the-road, middle-class, average Americans, there are differences between a working-class and a middle-class existence, and these differences can be far from subtle. If you grow up as I did and happen to be very fortunate, as I was, your family might sacrifice much so that you can go to college.",0,small
A Living Remedy by Nicole Chung,"In photos from that visit, I am a chubby, happy one-year-old in a flowered blouse and a blue corduroy jumper, no longer small for my age, boasting a toothy grin, chipmunk cheeks, and black hair that sticks straight up in defiance of my parents styling effortsno one had ever told them about Asian baby hair. My grandmother, who looks so much like my father with her wide smile, broad nose, and brown hair so dark it could almost be black like mine, reaches toward me as Dad props me up on her hospital bed.",0,small
