Name,Text,Pre2022,Length
1984 by George Orwell,"O'Brien had sat down beside the bed, so that his face was almost on a level with Winston's. 'Three thousand,' he said, speaking over Winston's head to the man in the white coat. Two soft pads, which felt slightly moist, clamped themselves against Winston's temples. He quailed. There was pain coming, a new kind of pain. O'Brien laid a hand reassuringly, almost kindly, on his.",1,small
1984 by George Orwell,"The future belonged to the proles. And could he be sure that when their time came the world they constructed would not be just as alien to him, Winston Smith, as the world of the Party? Yes, because at the least it would be a world of sanity. Where there is equality there can be sanity. Sooner or later it would happen, strength would change into consciousness.",1,small
1984 by George Orwell,"'""Who controls the present controls the past,""' said O'Brien, nodding his head with slow approval. 'Is it your opinion, Winston, that the past has real existence?' Again the feeling of helplessness descended upon Winston. His eyes flitted towards the dial. He not only did not know whether 'yes' or 'no' was the answer that would save him from pain; he did not even know which answer he believed to be the true one.",1,small
1984 by George Orwell,"When his father disappeared, his mother did not show any surprise or any violent grief, but a sudden change came over her. She seemed to have become completely spiritless. It was evident even to Winston that she was waiting for something that she knew must happen. She did everything that was needed--cooked, washed, mended, made the bed, swept the floor, dusted the mantelpiece--always very slowly and with a curious lack of superfluous motion, like an artist's lay-figure moving of its own accord.",1,small
1984 by George Orwell,"'It's all off,' she murmured as soon as she judged it safe to speak. 'Tomorrow, I mean.' 'What?' 'Tomorrow afternoon. I can't come.' 'Why not?' 'Oh, the usual reason. It's started early this time.' For a moment he was violently angry. During the month that he had known her the nature of his desire for her had changed. At the beginning there had been little true sensuality in it.",1,small
1984 by George Orwell,"There was no enquiry he could make. She might have been vaporized, she might have committed suicide, she might have been transferred to the other end of Oceania: worst and likeliest of all, she might simply have changed her mind and decided to avoid him. The next day she reappeared. Her arm was out of the sling and she had a band of sticking-plaster round her wrist.",1,small
1984 by George Orwell,"Throughout that time he had been intending to alter the name over the window, but had never quite got to the point of doing it. All the while that they were talking the half-remembered rhyme kept running through Winston's head. Oranges and lemons say the bells of St Clement's, You owe me three farthings, say the bells of St Martin's! It was curious, but when you said it to yourself you had the illusion of actually hearing bells, the bells of a lost London that still existed somewhere or other, disguised and forgotten.",1,small
1984 by George Orwell,But he had not gone six steps down the passage when something hit the back of his neck an agonizingly painful blow. It was as though a red-hot wire had been jabbed into him. He spun round just in time to see Mrs Parsons dragging her son back into the doorway while the boy pocketed a catapult. 'Goldstein!' bellowed the boy as the door closed on him.,1,small
1984 by George Orwell,"Suppose that we quicken the tempo of human life till men are senile at thirty. Still what difference would it make? Can you not understand that the death of the individual is not death? The party is immortal.' As usual, the voice had battered Winston into helplessness. Moreover he was in dread that if he persisted in his disagreement O'Brien would twist the dial again.",1,small
1984 by George Orwell,"Since he was arrested he had not been fed. He sat as still as he could on the narrow bench, with his hands crossed on his knee. He had already learned to sit still. If you made unexpected movements they yelled at you from the telescreen. But the craving for food was growing upon him. What he longed for above all was a piece of bread.",1,small
1984 by George Orwell,"O'Brien made a small impatient gesture, as though to say that the demonstration was hardly worth making. Then he turned a switch and the voices stopped. 'Get up from that bed,' he said. The bonds had loosened themselves. Winston lowered himself to the floor and stood up unsteadily. 'You are the last man,' said O'Brien. 'You are the guardian of the human spirit. You shall see yourself as you are.",1,small
1984 by George Orwell,"then there was a wonderful shot of a child's arm going up up up right up into the air a helicopter with a camera in its nose must have followed it up and there was a lot of applause from the party seats but a woman down in the prole part of the house suddenly started kicking up a fuss and shouting they didnt oughter of showed it not in front of kids they didnt it aint right not in front of kids it aint until the police turned her turned her out i dont suppose anything happened to her nobody cares what the proles say typical prole reaction they never---- Winston stopped writing, partly because he was suffering from cramp.",1,small
1984 by George Orwell,"There were times when it went on and on until the cruel, wicked, unforgivable thing seemed to him not that the guards continued to beat him but that he could not force hirnself into losing consciousness. There were times when his nerve so forsook him that he began shouting for mercy even before the beating began, when the mere sight of a fist drawn back for a blow was enough to make him pour forth a confession of real and imaginary crimes.",1,small
1984 by George Orwell,"He could feel the short springy turf under his feet and the gentle sunshine on his face. At the edge of the field were the elm trees, faintly stirring, and somewhere beyond that was the stream where the dace lay in the green pools under the willows. Suddenly he started up with a shock of horror. The sweat broke out on his backbone. He had heard himself cry aloud: 'Julia!",1,small
1984 by George Orwell,"They did not speak again. She did not actually try to shake him off, but walked at just such a speed as to prevent his keeping abreast of her. He had made up his mind that he would accompany her as far as the Tube station, but suddenly this process of trailing along in the cold seemed pointless and unbearable. He was overwhelmed by a desire not so much to get away from Julia as to get back to the Chestnut Tree Cafe, which had never seemed so attractive as at this moment.",1,small
1984 by George Orwell,"Under the window somebody was singing. Winston peeped out, secure in the protection of the muslin curtain. The June sun was still high in the sky, and in the sun-filled court below, a monstrous woman, solid as a Norman pillar, with brawny red forearms and a sacking apron strapped about her middle, was stumping to and fro between a washtub and a clothes line, pegging out a series of square white things which Winston recognized as babies' diapers.",1,small
1984 by George Orwell,"He was shoeless; large, dirty toes were sticking out of the holes in his socks. He was also several days away from a shave. A scrubby beard covered his face to the cheekbones, giving him an air of ruffianism that went oddly with his large weak frame and nervous movements. Winston roused hirnself a little from his lethargy. He must speak to Ampleforth, and risk the yell from the telescreen.",1,small
1984 by George Orwell,"A figure in blue overalls was coming down the pavement, not ten metres away. It was the girl from the Fiction Department, the girl with dark hair. The light was failing, but there was no difficulty in recognizing her. She looked him straight in the face, then walked quickly on as though she had not seen him. For a few seconds Winston was too paralysed to move.",1,small
1984 by George Orwell,"But the physical difficulty of meeting was enormous. It was like trying to make a move at chess when you were already mated. Whichever way you turned, the telescreen faced you. Actually, all the possible ways of communicating with her had occurred to him within five minutes of reading the note; but now, with time to think, he went over them one by one, as though laying out a row of instruments on a table.",1,small
1984 by George Orwell,"It was too complex to be put into words. There was the dream itself, and there was a memory connected with it that had swum into his mind in the few seconds after waking. He lay back with his eyes shut, still sodden in the atmosphere of the dream. It was a vast, luminous dream in which his whole life seemed to stretch out before him like a landscape on a summer evening after rain.",1,small
1984 by George Orwell,"Promiscuity went unpunished, divorce was permitted. For that matter, even religious worship would have been permitted if the proles had shown any sign of needing or wanting it. They were beneath suspicion. As the Party slogan put it: 'Proles and animals are free.' Winston reached down and cautiously scratched his varicose ulcer. It had begun itching again. The thing you invariably came back to was the impossibility of knowing what life before the Revolution had really been like.",1,small
